Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
106,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6643,Success,11 March 2021,10:01
107,CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,14 March 2021,08:28
108,KSC,Starlink,"~14,000 kg",LEO,Sirius XM,"Success
",F9 B5B1061.2647,Success,24 March 2021,16:34
109,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7652,Failure,7 April 2021,9:49
110,KSC,Starlink,"3,328 kg",GTO,NASA,Success,F9 B5B1049.9655,Failure,23 April 2021,03:44
111,CCSFS,SpaceX CRS-22,"7,000 kg",LEO,NASA,Success,F9 B5B1051.10657,"No attempt
",29 April 2021,19:01
112,KSC,SXM-8,0,LEO,NASA,"Success
",F9 B5B1058.8660,No attempt,4 May 2021,06:42
113,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 B5B1063.2665,"No attempt
",9 May 2021,22:56
114,CCAFS,Dragon,525 kg,LEO,MDA,Success,F9 B5B1067.1668,Uncontrolled,15 May 2021,18:59
115,CCAFS,Dragon,"4,700 kg",LEO,SES,Success,F9 B5,No attempt,26 May 2021,17:29
116,CCAFS,SpaceX CRS-1,"4,877 kg",Polar orbit,Thaicom,Success,F9 v1.07B0003.18,No attempt,3 June 2021,04:26
117,CCAFS,SpaceX CRS-2,500 kg,GTO,NASA,"Success
",F9 v1.07B0004.18,Controlled,6 June 2021,18:45
118,CCAFS,CASSIOPE,"3,170 kg",GTO,Orbcomm,Success,F9 v1.07B0005.18,Controlled,4 June 2010,15:43
119,VAFB,SES-8,"3,325 kg",LEO,AsiaSat,Success,F9 v1.07B0006.18,No attempt,8 December 2010,07:44
120,CCAFS,Thaicom 6,"2,296 kg",LEO,AsiaSat,Success,F9 v1.07B0007.18,"No attempt
",22 May 2012,00:35
121,CCAFS,SpaceX CRS-3,"1,316 kg",GTO,NASA,Success,F9 v1.17B10038,Uncontrolled,8 October 2012,15:10
1,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,NASA,Success,,Failure ,1 March 2013,16:00
2,Cape Canaveral,AsiaSat 8,"4,428 kg",LEO,USAF,"Success
",,Controlled,29 September 2013,22:41
3,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,ABS,"Success
",,No attempt,3 December 2013,22:06
4,Cape Canaveral,SpaceX CRS-4,"2,395 kg",HEO,NASA,"Success
",,Failure,6 January 2014,19:25
5,Cape Canaveral,SpaceX CRS-5,570 kg,GTO,,"Success
",,No attempt,18 April 2014,15:15
6,Cape Canaveral,DSCOVR,"4,159 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,14 July 2014,08:00
7,Cape Canaveral,ABS-3A,"1,898 kg",GTO,Orbcomm,"Success
",F9 v1.1[,Success,5 August 2014,05:00
8,Cape Canaveral,SpaceX CRS-6,"4,707 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,7 September 2014,05:52
9,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,SES,"Success
",F9 v1.1[,Failure,21 September 2014,09:47
10,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,NASA,Success,F9 v1.1[,Success,10 January 2015,23:03
11,Cape Canaveral,Orbcomm-OG2,553 kg,GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1[,Success,11 February 2015,03:50
12,Cape Canaveral,Jason-3,"5,271 kg",LEO,Thaicom,"Success
",F9 v1.1[,Success,2 March 2015,20:10
13,VAFB,SES-9,"3,136 kg",GTO,ABS,"Success
",F9 v1.1[,Failure,14 April 2015,23:03
14,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,NASA,"Success
",F9 FT[,Success,27 April 2015,14:21
15,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1[,Success,28 June 2015,01:29
16,Cape Canaveral,Thaicom 8,"3,600 kg",LEO,Iridium Communications,"Success
",F9 FT[,Success,22 December 2015,18:42
17,Cape Canaveral,ABS-2A,"2,257 kg",GTO,NASA,"Success
",F9 FT[,Success,17 January 2016,23:35
18,Cape Canaveral,SpaceX CRS-9,"4,600 kg",Polar,EchoStar,"Success
",F9 FT[,No attempt,4 March 2016,20:43
19,Cape Canaveral,JCSAT-16,"9,600 kg",LEO,SES,Success,F9 FT[,Success,8 April 2016,05:21
20,Cape Canaveral,Iridium NEXT,"2,490 kg",GTO,NRO,"Success
",F9 FT[,Success,6 May 2016,21:39
21,VAFB,SpaceX CRS-10,"5,600 kg",GTO,Inmarsat,"Success
",F9 FT[,No attempt,27 May 2016,14:29
22,KSC,EchoStar 23,"5,300 kg",LEO,NASA,"Success
",F9 FT[,Success,15 June 2016,04:45
23,KSC,SES-10,C,GTO,Bulsatcom,"Success
",F9 FT[,Success,18 July 2016,05:26
24,KSC,NROL-76,"6,070 kg",LEO,Iridium Communications,"Success
",F9 FT[,Success,14 August 2016,17:54
25,KSC,Inmarsat-5 F4,"2,708 kg",GTO,Intelsat,"Success
",F9 FT[,No attempt,14 January 2017,14:39
26,KSC,SpaceX CRS-11,"3,669 kg",LEO,NASA,"Success
",F9 FT♺[,Success,19 February 2017,06:00
27,KSC,BulgariaSat-1,"9,600 kg",GTO,NSPO,"Success
",F9 FT[,Success,16 March 2017,22:27
28,KSC,Iridium NEXT,"6,761 kg",LEO,USAF,"Success
",F9 FT[,Success,30 March 2017,11:15
29,VAFB,Intelsat 35e,"3,310 kg",SSO,Iridium Communications,"Success
",F9 FT[,Success,1 May 2017,23:21
30,KSC,SpaceX CRS-12,475 kg,LEO,SES S.A.,"Success
",F9 FTB1029.2195,Success,15 May 2017,21:07
31,KSC,Formosat-5,"4,990 kg",Polar,KT Corporation,"Success
",F9 FT[,Success,3 June 2017,19:10
32,VAFB,Boeing X-37B,"9,600 kg",GTO,NASA,"Success
",F9 FT[,Success,23 June 2017,20:25
33,KSC,Iridium NEXT,"5,200 kg",GTO,Iridium Communications,Success,F9 B4[,Controlled,25 June 2017,23:38
34,VAFB,SES-11,"3,500 kg",LEO,Northrop Grumman,Success,F9 FT[,Success,5 July 2017,16:31
35,KSC,Koreasat 5A,"2,205 kg",Polar,SES,Success,F9 B4[,Controlled,14 August 2017,18:51
36,KSC,SpaceX CRS-13,"9,600 kg",LEO,Hisdesat,Success,F9 B4[,No attempt,24 August 2017,14:00
37,Cape Canaveral,Iridium NEXT,C,GTO,Hispasat,Success,F9 FTB1031.2220,No attempt,7 September 2017,12:37
38,VAFB,Zuma,"4,230 kg",SSO,Iridium Communications,Success,F9 B4[,No attempt,9 October 2017,22:53:00
39,CCAFS,GovSat-1,"2,150 kg",GTO,NASA,Success,F9 FTB1035.2227,No attempt,11 October 2017,19:34
40,CCAFS,Paz,"6,092 kg",Polar,NASA,Success,F9 FTB1036.2227,Success,30 October 2017,15:36
41,VAFB,Hispasat 30W-6,"9,600 kg",LEO,Thales-Alenia,Success,F9 B4[,Success,15 December 2017,01:27
42,CCAFS,Iridium NEXT,"2,647 kg",HEO,Iridium Communications,Success,F9 FTB1032.2245,No attempt,23 December 2017,01:00
43,VAFB,SpaceX CRS-14,362 kg,GTO,SES,Success,F9 FTB1038.2268,No attempt,8 January 2018,21:25
44,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",Polar,NASA,Success,F9 B4[,No attempt,31 January 2018,14:17
45,CCAFS,Bangabandhu-1,"6,460 kg",GTO,Telesat,Success,F9 B4B1041.2268,Success,22 February 2018,05:33
46,KSC,Iridium NEXT,"5,384 kg",LEO,Iridium Communications,Success,F9 B4B1039.2292,Success,6 March 2018,14:14
47,VAFB,SES-12,"2,697 kg",GTO,Telkom Indonesia,Success,F9 B4[,Success,30 March 2018,20:30
48,CCAFS,SpaceX CRS-15,"7,075 kg",Polar,Telesat,Success,F9 B5311B1046.1268,Success,2 April 2018,22:51
49,CCAFS,Telstar 19V,"9,600 kg",GTO,CONAE,Success,F9 B4B1043.2322,Success,18 April 2018,20:14
50,CCAFS,Iridium NEXT,"5,800 kg",GTO,Es'hailSat,Success,F9 B4B1040.2268,Success,11 May 2018,19:47
51,VAFB,Merah Putih,"7,060 kg",SSO,Spaceflight Industries,Success,F9 B4B1045.2336,Success,22 May 2018,04:45
52,CCAFS,Telstar 18V,"3,000 kg",GTO,NASA,"Success
",F9 B5,Failure,4 June 2018,09:42
53,CCAFS,SAOCOM 1A,"5,300 kg",SSO,USAF,Success,F9 B5349B1048[,No attempt,29 June 2018,05:50
54,VAFB,Es'hail 2,"~4,000 kg",LEO,Iridium Communications,"Success
",F9 B5B1046.2354,Success,22 July 2018,11:39
55,KSC,SSO-A,"2,500 kg",MEO,PSN,"Success
",F9 B5[,Success,25 July 2018,05:18
56,VAFB,SpaceX CRS-16,"4,400 kg",Polar,NASA,"Success
",F9 B5B1048.2364,Success,7 August 2018,04:45
57,CCAFS,GPS III,"9,600 kg",GTO,NASA,"Success
",F9 B5B1047.2268,Success,10 September 2018,02:22
58,CCAFS,Iridium NEXT,"4,850 kg",LEO,SpaceX,"Success
",F9 B5B1046.3268,Success,8 October 2018,20:46
59,VAFB,Nusantara Satu,"12,055 kg",LEO,Canadian Space Agency,"Success
",F9 B5[,Success,15 November 2018,18:34:05
60,CCAFS,Crew Dragon Demo-1,"2,495 kg",LEO,NASA,"Success
",F9 B5[,Success,3 December 2018,18:16
61,KSC,SpaceX CRS-17,"13,620 kg",SSO,Spacecom,"Success
",F9 B5B1049.2397,No attempt,5 December 2018,13:51
62,CCAFS,Starlink,"4,200 kg",LEO,SpaceX,"Success
",F9 B5B1048.3399,Success,23 December 2018,15:31
63,CCAFS,RADARSAT Constellation,"2,268 kg",GTO,NASA,"Success
",F9 B5[]413,Success,11 January 2019,01:45
64,VAFB,SpaceX CRS-18,"6,500 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5[,Success,22 February 2019,07:49
65,CCAFS,AMOS-17,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.3434,Success,2 March 2019,06:48
66,CCAFS,Starlink,"2,617 kg",GTO,NASA,"Success
",F9 B5B1051.2420,"No attempt
",4 May 2019,02:30
67,CCAFS,SpaceX CRS-19,"6,956 kg",LEO,SpaceX,"Success
",F9 B5B1056.2465,Success,24 May 2019,14:17
68,CCAFS,JCSat-18,"15,600 kg",Sub-orbital,SpaceX,"Success
",F9 B5B1047.3472,Failure,12 June 2019,22:01
69,CCAFS,Starlink,"12,050 kg",LEO,NASA,"Success
",F9 B5,Success,25 July 2019,23:23
70,CCAFS,Crew Dragon in-flight abort test,"15,600 kg",LEO,SpaceX,"Success
",F9 B5[,Failure,6 August 2019,14:56
71,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3482,Success,11 November 2019,17:29
72,CCAFS,Starlink,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,5 December 2019,00:10
73,CCAFS,SpaceX CRS-20,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 December 2019,02:19:21
74,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 January 2020,15:30
75,KSC,Starlink,"12,530 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,19 January 2020,14:07
76,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,Republic of Korea Army,"Success
",F9 B5,Success,29 January 2020,15:05
77,KSC,Starlink,"15,410 kg",MEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,04:50
78,CCAFS,Starlink,"4,311 kg",GTO,SpaceX,"Success
",F9 B5,Success,7 March 2020,12:16
79,CCAFS,GPS III,"5,000–6,000 kg",LEO,CONAE,"Success
",F9 B5[,Success,18 March 2020,19:30
80,CCAFS,ANASIS-II,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:22
81,CCAFS,Starlink,"~15,440 kg",SSO,SpaceX,"Success
",F9 B5,Success,30 May 2020,01:25
82,KSC,Starlink,"3,130 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,09:21
83,CCAFS,SAOCOM 1B,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.2544,Success,13 June 2020,20:10:46
84,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5,Success,30 June 2020,21:30
85,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1049.6544,Success,20 July 2020,05:12
86,KSC,Starlink,"15,600 kg",MEO,NASA,"Success
",F9 B5,Success,7 August 2020,14:31
87,KSC,Starlink,"4,311 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,Success,18 August 2020,23:18
88,CCAFS,GPS III,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1058.3565,Success,30 August 2020,12:46:14
89,CCAFS,Crew-1,"1,192 kg",LEO,Sirius XM,"Success
",F9 B5B1051.6568,Success,3 September 2020,11:29:34
90,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,NRO,"Success
",F9 B5,Success,6 October 2020,12:25:57
91,VAFB,Starlink,"2,972 kg",GTO,Türksat,"Success
",F9 B5,Success,18 October 2020,15:31:34
92,CCAFS,SpaceX CRS-21,"7,000 kg",LEO,SpaceX,"Success
",F9 B5[,Success,24 October 2020,23:24:23
93,KSC,SXM-7,C,GTO,,"Success
",F9 B5,Success,5 November 2020,00:27
94,CCSFS,NROL-108,"3,500 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,16 November 2020,17:17:08
95,KSC,Türksat 5A,"15,600 kg",SSO,SpaceX,"Success
",F9 B5 ♺[,Failure,21 November 2020,02:13
96,CCSFS,Starlink,"~5,000 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,25 November 2020,16:17:08
97,KSC,Transporter-1,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,6 December 2020,17:30:00
98,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 December 2020,14:00:00
99,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,Success,19 December 2020,02:15
100,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.5613,Success,8 January 2021,13:02
101,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,20 January 2021,15:00
102,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,24 January 2021,06:19
103,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,4 February 2021,03:59:37
104,CCSFS,Starlink,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,16 February 2021,08:24
105,CCSFS,Crew-2,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:13:29
106,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6643,Success,11 March 2021,10:01
107,CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,14 March 2021,08:28
108,KSC,Starlink,"~14,000 kg",LEO,Sirius XM,"Success
",F9 B5B1061.2647,Success,24 March 2021,16:34
109,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1060.7652,,7 April 2021,9:49
110,KSC,Starlink,"3,328 kg",GTO,,,F9 B5B1049.9655,,23 April 2021,03:44
111,CCSFS,SpaceX CRS-22,"7,000 kg",,,,F9 B5B1051.10657,,29 April 2021,19:01
112,KSC,SXM-8,,,,,F9 B5B1058.8660,,4 May 2021,06:42
113,CCSFS,,,,,,F9 B5B1063.2665,,9 May 2021,22:56
114,,,,,,,F9 B5B1067.1668,,15 May 2021,18:59
115,,,,,,,F9 B5,,26 May 2021,17:29
116,,,,,,,,,3 June 2021,04:26
117,,,,,,,,,6 June 2021,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
